sitename,lon,lat,elv,year_start,year_end,canopy_height,reference_height,koeppen_code,igbp_land_use,whc,product,c3c4,mat,p_over_pet
CA-NS2,-98.5247,55.9058,260,2001,2005,20,44.117647058823536,Dfc,ENF,758.646728515625,ameriflux,C3,-1.420916162354578,0.5855692174793865
CA-NS3,-98.3822,55.9117,260,2001,2005,12.444598754835717,27.451320782725848,Dfc,ENF,750.125244140625,ameriflux,C3,1.7499343046248639,0.3431149201015791
CA-NS4,-98.3806,55.9144,260,2001,2005,7,15.441176470588236,Dfc,ENF,750.125244140625,ameriflux,C3,0.7768919023403277,0.5746626501252704
CA-NS5,-98.485,55.8631,260,2001,2005,5,9,Dfc,ENF,741.468994140625,ameriflux,C3,-0.4829890457997698,0.4532819501928985
CA-NS6,-98.9644,55.9167,244,2001,2005,4,6,Dfc,OSH,729.70721435546875,ameriflux,C3,0.7254905296673315,0.42447680367372514
CA-NS7,-99.9483,56.6358,297,2001,2005,0.25,0.5514705882352942,Dfc,OSH,807.2322998046875,ameriflux,C3,-0.19490624614790272,0.5318321840588398
CA-Qcu,-74.036529541015625,49.2670783996582,392,2002,2006,5.5,12.132352941176471,Dfc,ENF,197.24952697753906,plumber,NA,1.6030536539503648,2.2839498693909563
CA-Qfo,-74.3421,49.6925,382,2003,2010,13.8,24,Dfc,ENF,211.28390502929688,ameriflux,C3,1.9854310692209214,1.4809508528701025
CA-SF1,-105.8176,54.485,536,2003,2006,6,12.1,Dfc,ENF,887.1614990234375,ameriflux,C3,2.0023140376206756,0.7540598393291907
CA-SF2,-105.8775,54.2539,520,2001,2006,4,9.144,Dfc,ENF,162.57510375976562,ameriflux,C3,3.5664108452592522,0.577220805052907
CA-SF3,-106.00530242919922,54.09159851074219,540,2003,2005,1,2.2058823529411766,Dfc,OSH,178.11813354492188,plumber,C3,2.752512650184374,0.7205359083433694
CA-TP1,-80.5595,42.6609,265,2002,2017,3.5444444444444443,5.333333333333333,Dfb,ENF,197.84371948242188,ameriflux,C3,10.356352369016788,1.0998928152170746
CA-TP3,-80.3483,42.7068,184,2002,2017,13.299999999999999,29.33823529411765,Dfb,ENF,197.84371948242188,ameriflux,C3,10.21744945903263,1.2862664354453637
CA-TPD,-80.5577,42.6353,260,2012,2017,25.7,56.69117647058824,Dfb,DBF,214.2979278564453,ameriflux,C3,10.61332354349354,1.0673682411709595
CH-Aws,9.790417,46.583306,2014,2006,2020,0.5750000029802322,1.2683823595152182,ET,GRA,218.63607788085938,icos_warmwinter2020,C3,7.084686845233244,1.7626956464397707
CH-Cha,8.410440444946289,47.21022033691406,393,2005,2020,0.5,1.1029411764705883,Cfb,GRA,240.23568725585938,icos_warmwinter2020,C3,11.429130710360532,1.5255244133498271
CH-Dav,9.85591,46.81533,1689,1997,2020,25,55.14705882352941,ET,ENF,223.23182678222656,icos_warmwinter2020,C3,5.549135442340891,1.1102321499510523
CH-Fru,8.537779808044434,47.1158332824707,982,2005,2020,0.5,1.1029411764705883,Cfb,GRA,213.80369567871094,icos_warmwinter2020,C3,8.865263835794986,2.329549425225928
CH-Lae,8.365,47.47808333,645,2004,2020,14.420000076293945,47,Cfb,MF,216.66603088378906,icos_warmwinter2020,C3,8.960637233517652,1.2319371871264582
CH-Oe1,7.731939792633057,47.285831451416016,450,2002,2008,0.5,2,Cfb,GRA,222.75596618652344,plumber,C3,9.897549124146009,1.9772755855925361
CH-Oe2,7.734333333,47.28630556,450,2004,2020,0.8930252772826303,2.0833333333333335,Cfb,CRO,222.75596618652344,icos_warmwinter2020,C3,10.722047100424849,1.585975930923393
CN-Cha,128.09579467773438,42.40250015258789,754,2003,2005,28,61.76470588235294,Dwb,MF,247.13795471191406,plumber,C3,5.809592648754202,0.6914770974688168
CN-Cng,123.50920104980469,44.59339904785156,138,2008,2009,0.75,2,Dwa,GRA,154.80770874023438,plumber,C3,7.840229368052414,0.42682783393017193
CN-Dan,91.06639862060547,30.497800827026367,4751,2004,2005,1,2.0999999046325684,ET,GRA,173.4037628173828,plumber,C3,4.322795846714192,0.5214553665252077
CN-Din,112.53610229492188,23.17329978942871,261,2003,2005,30,66.1764705882353,Cfa,EBF,242.55422973632812,plumber,C3,20.856340458880176,1.519034714960078
CN-Du2,116.28359985351562,42.04669952392578,1331,2007,2008,0.5,1.1029411764705883,Dwb,GRA,166.8404083251953,plumber,C3,4.36991417652367,0.3736896022996101
CN-HaM,101.18000030517578,37.369998931884766,3975,2002,2003,0.30000001192092896,0.6617647321785198,ET,GRA,189.57565307617188,plumber,C3,2.549003748143295,0.7302452592779268
CN-Qia,115.05809783935547,26.74139976501465,64,2003,2005,13,39.599998474121094,Cfa,ENF,228.145263671875,plumber,C3,18.999834910068518,1.363573333581132
CZ-BK1,18.536882,49.502075,875,2004,2020,12.444598754835717,27.451320782725848,Dfb,ENF,259.2153015136719,icos_warmwinter2020,C3,8.072089444139118,1.777240596188475
