sitename,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr
US-NGC,2018-06-12,2019-09-02,2019,2018,0,TRUE,2018-06-12,2019-09-03,2019,2018,0,TRUE,2018-06-12,2019-09-03,2019,2018,0,TRUE
US-NR1,1999-05-03,2016-09-25,2000,2015,16,FALSE,2007-02-17,2016-12-30,2008,2016,9,FALSE,2007-02-17,2016-12-30,2008,2016,9,FALSE
US-Ne1,2001-05-31,2020-12-30,2002,2020,19,FALSE,2001-05-25,2020-12-30,2002,2020,19,FALSE,NA,NA,NA,NA,0,TRUE
US-Ne2,2002-05-22,2012-12-30,2003,2012,10,FALSE,2002-01-01,2012-12-31,2002,2012,11,FALSE,2002-01-01,2012-12-31,2002,2012,11,FALSE
US-Ne3,2002-01-01,2012-12-31,2002,2012,11,FALSE,2002-01-01,2012-12-30,2002,2012,11,FALSE,2002-01-01,2012-12-30,2002,2012,11,FALSE
US-ONA,2016-04-14,2020-12-30,2017,2020,4,FALSE,2016-04-14,2020-12-30,2017,2020,4,FALSE,2016-04-14,2020-12-30,2017,2020,4,FALSE
US-ORv,2011-01-01,2016-10-31,2011,2015,5,FALSE,2011-01-01,2016-10-31,2011,2015,5,FALSE,NA,NA,NA,NA,0,TRUE
US-OWC,2016-04-15,2016-10-21,2017,2015,-1,TRUE,NA,NA,NA,NA,0,TRUE,NA,NA,NA,NA,0,TRUE
US-PFa,1996-07-12,2014-12-30,1997,2013,17,FALSE,1996-07-12,2014-12-30,1997,2013,17,FALSE,NA,NA,NA,NA,0,TRUE
US-Prr,2011-01-01,2013-12-30,2011,2012,2,FALSE,2011-01-01,2013-12-30,2011,2012,2,FALSE,2011-01-01,2013-12-30,2011,2012,2,FALSE
US-Rms,2014-09-16,2020-10-01,2015,2019,5,FALSE,2014-09-16,2020-10-01,2015,2019,5,FALSE,2014-09-16,2020-10-01,2015,2019,5,FALSE
US-Ro1,2004-01-01,2016-12-30,2004,2016,13,FALSE,2004-01-01,2016-12-30,2004,2016,13,FALSE,2004-01-01,2016-12-30,2004,2016,13,FALSE
US-Ro4,2014-01-10,2021-12-30,2015,2020,6,FALSE,2014-01-10,2021-12-30,2015,2020,6,FALSE,2014-01-10,2021-12-30,2015,2020,6,FALSE
US-Ro5,2017-01-01,2020-12-22,2017,2019,3,FALSE,2017-01-01,2020-12-22,2017,2019,3,FALSE,2017-01-01,2020-12-22,2017,2019,3,FALSE
US-Ro6,2017-01-01,2021-12-30,2017,2020,4,FALSE,2017-01-01,2021-12-30,2017,2020,4,FALSE,2017-01-01,2021-12-30,2017,2020,4,FALSE
US-Rwe,2003-02-04,2007-10-01,2004,2006,3,FALSE,2003-08-25,2007-10-01,2004,2006,3,FALSE,2003-08-26,2007-10-01,2004,2006,3,FALSE
US-Rwf,2014-06-04,2020-10-01,2015,2019,5,FALSE,2014-06-04,2020-10-01,2015,2019,5,FALSE,2014-06-04,2020-10-01,2015,2019,5,FALSE
US-Rws,2014-10-02,2020-10-01,2015,2019,5,FALSE,2014-09-16,2020-10-01,2015,2019,5,FALSE,2014-09-16,2020-10-01,2015,2019,5,FALSE
US-SP1,2005-01-01,2005-12-27,2005,2004,0,TRUE,2005-01-01,2005-12-31,2005,2005,1,FALSE,2005-01-01,2005-12-30,2005,2004,0,TRUE
US-SP2,2000-09-06,2004-12-29,2001,2003,3,FALSE,2000-01-01,2004-12-31,2000,2004,5,FALSE,2000-01-01,2004-12-30,2000,2004,5,FALSE
US-SP3,2000-09-23,2004-12-28,2001,2003,3,FALSE,2000-06-23,2004-12-30,2001,2004,4,FALSE,2000-06-24,2004-12-30,2001,2004,4,FALSE
US-SRC,2008-03-14,2013-04-15,2009,2012,4,FALSE,2008-03-14,2013-04-15,2009,2012,4,FALSE,2008-03-14,2013-04-15,2009,2012,4,FALSE
US-SRG,2009-01-01,2014-12-31,2009,2014,6,FALSE,2009-01-01,2014-12-31,2009,2014,6,FALSE,2009-01-01,2014-12-31,2009,2014,6,FALSE
US-SRM,2004-01-06,2014-12-30,2005,2013,9,FALSE,2004-01-06,2014-12-30,2005,2013,9,FALSE,2004-01-06,2014-12-30,2005,2013,9,FALSE
