id,license,latitude,longitude,altitude,IGBP,MAT,MAP
NL-Hor,CC-BY-4.0,52.2403,5.0713,2.2,GRA,10,800
NL-Loo,CC-BY-4.0,52.1666,5.7436,25,ENF,9.8,786
NZ-Kop,,-37.3879,175.5539,,EBF,,
PA-SPn,CC-BY-4.0,9.3181,-79.6346,78,DBF,26.5,2350
PA-SPs,CC-BY-4.0,9.3138,-79.6314,68,GRA,26.5,2350
PH-RiF,,14.1412,121.2653,27,CRO,27.5,2112
RU-Ch2,,68.6169,161.3509,4,WET,-12.5,200
RU-Che,CC-BY-4.0,68.613,161.3414,6,WET,-11,197
RU-Cok,CC-BY-4.0,70.8291,147.4943,48,OSH,-14.3,232
RU-Fy2,,56.4476,32.9019,,ENF,4.39,668.53
RU-Fyo,CC-BY-4.0,56.4615,32.9221,265,ENF,3.9,711
RU-Ha1,CC-BY-4.0,54.7252,90.0022,446,GRA,-0.07,591.87
RU-Sam,Tier 2,72.3738,126.4958,,GRA,,
RU-SkP,Tier 2,62.255,129.168,246,DNF,,
RU-Tks,Tier 2,71.5943,128.8878,7,GRA,-12.7,323
RU-Vrk,Tier 2,67.0547,62.9405,100,CSH,-5.6,501
SD-Dem,CC-BY-4.0,13.2829,30.4783,500,SAV,26,320
SE-Deg,,64.182,19.5565,270,GRA,1.2,523
SE-St1,Tier 2,68.3541,19.0503,351,WET,-0.7,303.3
SJ-Adv,CC-BY-4.0,78.186,15.923,17,WET,,
SJ-Blv,CC-BY-4.0,78.9216,11.8311,25,SNO,-4.5,400
SN-Dhr,CC-BY-4.0,15.4028,-15.4322,40,SAV,29,404
UK-LBT,,51.5215,-0.1389,21,URB,11.3,592
US-A03,,70.4953,-149.8823,5,BSV,-11.2,115.1
US-A10,,71.3242,-156.6149,4,BSV,-11.2,115.1
US-AR1,CC-BY-4.0,36.4267,-99.42,611,GRA,,
US-AR2,CC-BY-4.0,36.6358,-99.5975,646,GRA,,
US-ARM,CC-BY-4.0,36.6058,-97.4888,314,CRO,14.76,843
US-ARb,CC-BY-4.0,35.5497,-98.0402,424,GRA,,
US-ARc,CC-BY-4.0,35.5465,-98.04,424,GRA,,
US-Atq,CC-BY-4.0,70.4696,-157.4089,15,WET,-9.7,93
US-BZB,,64.6955,-148.3208,100,WET,-2.4,274
US-BZF,,64.7013,-148.3121,95,WET,-2.4,274
US-BZS,,64.6963,-148.3235,100,ENF,-2.4,274
US-Beo,,71.281,-156.6123,,WET,-11.3,72
US-Bes,,71.2809,-156.5965,4.6,WET,-12,173
US-Bi1,,38.0992,-121.4993,-2.7,CRO,16,338
US-Bi2,,38.1091,-121.5351,-5,CRO,16,338
US-Blo,CC-BY-4.0,38.8953,-120.6328,1315,ENF,11.09,1226
US-CRT,CC-BY-4.0,41.6285,-83.3471,180,CRO,10.1,849
US-Cop,CC-BY-4.0,38.09,-109.39,1520,GRA,,
US-DPW,,28.0521,-81.4361,23,WET,22.6,1142
US-EDN,,37.6156,-122.114,,WET,,
US-EML,,63.8784,-149.2536,700,OSH,-1,378
US-GBT,CC-BY-4.0,41.3658,-106.2397,3191,ENF,0.8,1200
US-GLE,CC-BY-4.0,41.3665,-106.2399,3197,ENF,0.8,1200
US-Goo,CC-BY-4.0,34.2547,-89.8735,87,GRA,15.89,1425.77
US-HRA,,34.5852,-91.7517,,CRO,16.7,1250
US-HRC,,34.5888,-91.7517,,CRO,16.7,1250
US-Ha1,CC-BY-4.0,42.5378,-72.1715,340,DBF,6.62,1071
US-Ho1,,45.2041,-68.7402,60,ENF,5.27,1070
US-IB2,CC-BY-4.0,41.8406,-88.241,226.5,GRA,9.04,930.25
US-ICs,,68.6058,-149.311,920,WET,-7.4,318
US-Ivo,CC-BY-4.0,68.4865,-155.7503,568,WET,-8.28,304
US-KS1,CC-BY-4.0,28.4583,-80.6709,1,ENF,21.9,1266
US-KS2,CC-BY-4.0,28.6086,-80.6715,3,CSH,21.66,1294
US-LA1,,29.5013,-90.4449,0,WET,20.7,1625
US-LA2,,29.8587,-90.2869,0,WET,20.2,1655
US-LWW,CC-BY-4.0,34.9604,-97.9789,365,GRA,16.09,805.12
US-Lin,CC-BY-4.0,36.3566,-119.0922,131,CRO,,
US-Los,CC-BY-4.0,46.0827,-89.9792,480,WET,4.08,828
US-MAC,,27.1632,-81.1873,,WET,,
US-MMS,CC-BY-4.0,39.3232,-86.4131,275,DBF,10.85,1032
US-MRM,,40.8164,-74.0435,1,WET,13.5,1120
US-Me1,CC-BY-4.0,44.5794,-121.5,896,ENF,7.88,704.61
US-Me2,CC-BY-4.0,44.4523,-121.5574,1253,ENF,6.28,523
US-Me3,CC-BY-4.0,44.3154,-121.6078,1005,ENF,7.07,719
US-Me4,CC-BY-4.0,44.4992,-121.6224,922,ENF,7.61,1038.82
US-Me5,CC-BY-4.0,44.4372,-121.5668,1188,ENF,6.47,590.81
US-Me6,CC-BY-4.0,44.3233,-121.6078,998,ENF,7.59,494
US-Myb,CC-BY-4.0,38.0499,-121.765,-4,WET,15.9,338
US-NC4,,35.7879,-75.9038,1,WET,16.6,1311
US-NGB,,71.28,-156.6092,5.273,SNO,-11.27,171
US-NGC,,64.8614,-163.7008,35,GRA,,
US-NR1,CC-BY-4.0,40.0329,-105.5464,3050,ENF,1.5,800
US-Ne1,CC-BY-4.0,41.1651,-96.4766,361,CRO,10.07,790.37
US-Ne2,CC-BY-4.0,41.1649,-96.4701,362,CRO,10.08,788.89
US-Ne3,CC-BY-4.0,41.1797,-96.4397,363,CRO,10.11,783.68
US-ORv,CC-BY-4.0,40.0201,-83.0183,221,WET,11.63,1499.1
US-OWC,,41.3795,-82.5125,174,WET,10.7,930
US-Oho,CC-BY-4.0,41.5545,-83.8438,230,DBF,10.1,849
US-PFa,CC-BY-4.0,45.9459,-90.2723,470,MF,4.33,823
US-Prr,CC-BY-4.0,65.1237,-147.4876,210,ENF,-2,275
US-SRC,CC-BY-4.0,31.9083,-110.8395,950,OSH,22,330
US-SRG,CC-BY-4.0,31.7894,-110.8277,1291,GRA,17,420
US-SRM,CC-BY-4.0,31.8214,-110.8661,1120,WSA,17.92,380
US-Snd,,38.0366,-121.754,-5,GRA,15.6,358
US-Sne,,38.0369,-121.7547,-5,GRA,16.09,311
US-Srr,,38.2006,-122.0264,8,WET,15.1,326
US-StJ,,39.0882,-75.4372,6.7,WET,13.5,1121
US-Sta,CC-BY-4.0,41.3966,-106.8024,2069,OSH,5.1,
US-Syv,CC-BY-4.0,46.242,-89.3477,540,MF,3.81,826
US-Ton,CC-BY-4.0,38.4309,-120.966,177,WSA,15.8,559
US-Tw1,CC-BY-4.0,38.1074,-121.6469,-5,WET,15.5,421
US-Tw2,CC-BY-4.0,38.1047,-121.6433,-5,CRO,15.5,421
US-Tw3,CC-BY-4.0,38.1152,-121.6469,-4,CRO,15.6,421
US-Tw4,CC-BY-4.0,38.1027,-121.6413,-5,WET,15.6,421
US-Tw5,,38.1072,-121.6426,-5,WET,15.5,421
US-Twt,CC-BY-4.0,38.1087,-121.6531,-7,CRO,15.6,421
US-UMB,CC-BY-4.0,45.5598,-84.7138,234,DBF,5.83,803
US-UMd,CC-BY-4.0,45.5625,-84.6975,239,DBF,5.83,803
US-Uaf,,64.8663,-147.8555,155,ENF,-2.9,263
US-Var,CC-BY-4.0,38.4133,-120.9508,129,GRA,15.8,559
US-WCr,CC-BY-4.0,45.8059,-90.0799,520,DBF,4.02,787
US-WPT,CC-BY-4.0,41.4646,-82.9962,175,WET,10.1,849
US-Whs,CC-BY-4.0,31.7438,-110.0522,1370,OSH,17.6,320
US-Wi0,CC-BY-4.0,46.6188,-91.0814,349,ENF,,
US-Wi1,CC-BY-4.0,46.7305,-91.2329,352,DBF,,
US-Wi2,CC-BY-4.0,46.6869,-91.1528,395,ENF,,
US-Wi3,CC-BY-4.0,46.6347,-91.0987,411,DBF,,
US-Wi4,CC-BY-4.0,46.7393,-91.1663,352,ENF,,
US-Wi5,CC-BY-4.0,46.6531,-91.0858,353,ENF,,
US-Wi6,CC-BY-4.0,46.6249,-91.2982,371,OSH,,
US-Wi7,CC-BY-4.0,46.6491,-91.0693,335,OSH,,
US-Wi8,CC-BY-4.0,46.7223,-91.2524,348,DBF,,
US-Wi9,CC-BY-4.0,46.7385,-91.0746,350,ENF,,
US-Wkg,CC-BY-4.0,31.7365,-109.9419,1531,GRA,15.64,407
ZA-Kru,Tier 2,-25.0197,31.4969,359,SAV,21.9,547
ZM-Mon,CC-BY-4.0,-15.4391,23.2525,1053,DBF,25,945
